dataset,cohort,participant_id,session_id,chronological_position,video_order,presentation_id,video_name,video_id,content_id,source,canonical_quadrant,emotion_name,stimulus_duration_sec,timeline_start_sec,timeline_end_sec,timeline_duration_sec,timeline_end_is_fallback,segment_file,segment_available,segment_valid,segment_type,is_baseline,is_emotional_stimulus,valence_rating,arousal_rating,dominance_rating,valence_rating_count,arousal_rating_count,rating_policy_status,eeg_available,emg_available,ecg_available,gsr_available,raw_xdf_file,preprocessed_hdf5_file,participant_session_key,source_database_rows,identity_conflict_flag,notes,raw_emg_unit_id,raw_emg_unit_type,raw_emg_boundary_covered,raw_emg_observed_samples,raw_emg_expected_samples,raw_emg_sample_coverage_ratio,raw_emg_max_gap_sec,raw_emg_gap_ok,emg_ch1_finite_fraction,emg_ch2_finite_fraction,emg_ch1_exact_flatline,emg_ch2_exact_flatline,emg_ch1_low_variability_warning,emg_ch2_low_variability_warning,emg_ch1_std,emg_ch2_std,emg_ch1_robust_range,emg_ch2_robust_range,raw_emg_two_channel_eligible,raw_emg_one_channel_eligible,raw_emg_eligibility_reason,strict_signal_qc_applied,strict_two_channel_emg_eligible,strict_one_channel_emg_eligible,strict_signal_qc_status,before_valence,before_arousal,before_dominance,after_valence,after_arousal,after_dominance,after_valence_discard_midpoint_label,after_valence_midpoint_as_low_label,after_valence_midpoint_as_high_label,after_arousal_discard_midpoint_label,after_arousal_midpoint_as_low_label,after_arousal_midpoint_as_high_label,primary_valence_label,primary_arousal_label,primary_valence_label_available,primary_arousal_label_available,primary_label_policy
DEJA-VU,Cohort_B_Paired_EEG_EMG_Strict,P002,S002,3,10,P002_S002_p3,Scream,scream,filmstim_scream,FilmStim,B,Fear,216.0,654.0,870.0,216.0,False,S002_quadrant_B_pos3.h5,True,True,quadrant,False,True,8.0,8.0,9.0,2,2,"before=1,after=1",True,True,True,True,sub-P002_ses-S002_task-Default_run-001_eeg.xdf,clean_P002_S002.h5,P002_S002,journey:1;videos:1;video_mappings:1;ratings:2,False,,P002_S002_p3,presentation,True,110588,110592,0.9999638310185184,0.0019531900616129,True,1.0,1.0,False,False,False,False,0.2578642783104619,0.1058958873300387,1.6589332903921603,0.5839604187011718,True,True,PASS,False,True,True,NOT_IMPLICATED,8,5,5,8,8,9,1.0,1,1,1.0,1,1,1,1,True,True,after_only;discard_midpoint;score_lt_5=low;score_eq_5=missing;score_gt_5=high
DEJA-VU,Cohort_B_Paired_EEG_EMG_Strict,P002,S002,4,14,P002_S002_p4,My girl,my_girl,emostim_my_girl,EmoStim,C,Sadness,199.0,1003.0,1202.0,199.0,False,S002_quadrant_C_pos4.h5,True,True,quadrant,False,True,3.0,5.0,5.0,2,2,"before=1,after=1",True,True,True,True,sub-P002_ses-S002_task-Default_run-001_eeg.xdf,clean_P002_S002.h5,P002_S002,journey:1;videos:1;video_mappings:1;ratings:2,False,,P002_S002_p4,presentation,True,101885,101888,0.9999705559045228,0.0019531900616129,True,1.0,1.0,False,False,False,False,0.0547808735717543,0.1052091423623748,0.2127107195556163,0.536290550231934,True,True,PASS,False,True,True,NOT_IMPLICATED,8,4,5,3,5,5,0.0,0,0,,0,1,0,,True,False,after_only;discard_midpoint;score_lt_5=low;score_eq_5=missing;score_gt_5=high
DEJA-VU,Cohort_B_Paired_EEG_EMG_Strict,P003,S001,2,6,P003_S001_p2,There is something about Mary,there_is_something_about_mary,filmstim_there_is_something_about_mary,FilmStim,A,Fun,174.0,349.0,523.0,174.0,False,S001_quadrant_A_pos2.h5,True,True,quadrant,False,True,6.0,3.0,6.0,2,2,"before=1,after=1",True,True,True,True,sub-P003_ses-S001_task-Default_run-001_eeg.xdf,clean_P003_S001.h5,P003_S001,journey:1;videos:1;video_mappings:1;ratings:2,False,,P003_S001_p2,presentation,True,88976,89088,0.998742816091954,0.0019555853214114,True,1.0,1.0,False,False,False,False,0.2010164532468512,0.2464660472393295,0.8568168878555298,0.944732666015625,True,True,PASS,False,True,True,NOT_IMPLICATED,5,3,5,6,3,6,1.0,1,1,0.0,0,0,1,0,True,True,after_only;discard_midpoint;score_lt_5=low;score_eq_5=missing;score_gt_5=high
DEJA-VU,Cohort_B_Paired_EEG_EMG_Strict,P003,S001,3,10,P003_S001_p3,My girl,my_girl,emostim_my_girl,EmoStim,C,Sadness,199.0,656.0,855.0,199.0,False,S001_quadrant_C_pos3.h5,True,True,quadrant,False,True,5.0,3.0,4.0,2,2,"before=1,after=1",True,True,True,True,sub-P003_ses-S001_task-Default_run-001_eeg.xdf,clean_P003_S001.h5,P003_S001,journey:1;videos:1;video_mappings:1;ratings:2,False,,P003_S001_p3,presentation,True,101760,101888,0.9987437185929648,0.0019555853214114,True,1.0,1.0,False,False,False,False,0.0640959050175551,0.2333803652594841,0.2796154022216797,1.231342945098877,True,True,PASS,False,True,True,NOT_IMPLICATED,6,3,6,5,3,4,,0,1,0.0,0,0,,0,False,True,after_only;discard_midpoint;score_lt_5=low;score_eq_5=missing;score_gt_5=high
DEJA-VU,Cohort_B_Paired_EEG_EMG_Strict,P003,S001,4,14,P003_S001_p4,The Shining,the_shining,emostim_the_shining,EmoStim,B,Fear,165.0,988.0,1153.0,165.0,False,S001_quadrant_B_pos4.h5,True,True,quadrant,False,True,2.0,6.0,3.0,2,2,"before=1,after=1",True,True,True,True,sub-P003_ses-S001_task-Default_run-001_eeg.xdf,clean_P003_S001.h5,P003_S001,journey:1;videos:1;video_mappings:1;ratings:2,False,,P003_S001_p4,presentation,True,84374,84480,0.9987452651515152,0.0019555853214114,True,1.0,1.0,False,False,False,False,0.1401764222757973,0.3134779873870001,0.5217889320850375,1.4981708908081046,True,True,PASS,False,True,True,NOT_IMPLICATED,4,3,4,2,6,3,0.0,0,0,1.0,1,1,0,1,True,True,after_only;discard_midpoint;score_lt_5=low;score_eq_5=missing;score_gt_5=high
DEJA-VU,Cohort_B_Paired_EEG_EMG_Strict,P004,S001,2,6,P004_S001_p2,Scream,scream,filmstim_scream,FilmStim,B,Fear,216.0,349.0,565.0,216.0,False,S001_quadrant_B_pos2.h5,True,True,quadrant,False,True,3.0,5.0,7.0,2,2,"before=1,after=1",True,True,True,True,sub-P004_ses-S001_task-Default_run-001_eeg.xdf,clean_P004_S001.h5,P004_S001,journey:1;videos:1;video_mappings:1;ratings:2,False,,P004_S001_p2,presentation,True,110434,110592,0.9985713252314816,0.0019559205902623,True,1.0,1.0,False,False,False,False,0.0850927194452473,0.1099602987897157,0.4115349483489989,0.4978798246383666,True,True,PASS,False,True,True,NOT_IMPLICATED,5,5,3,3,5,7,0.0,0,0,,0,1,0,,True,False,after_only;discard_midpoint;score_lt_5=low;score_eq_5=missing;score_gt_5=high
DEJA-VU,Cohort_B_Paired_EEG_EMG_Strict,P004,S001,3,10,P004_S001_p3,Mr. Bean,mr._bean,emostim_mr._bean,EmoStim,A,Fun,159.0,698.0,857.0,159.0,False,S001_quadrant_A_pos3.h5,True,True,quadrant,False,True,9.0,5.0,7.0,2,2,"before=1,after=1",True,True,True,True,sub-P004_ses-S001_task-Default_run-001_eeg.xdf,clean_P004_S001.h5,P004_S001,journey:1;videos:1;video_mappings:1;ratings:2,False,,P004_S001_p3,presentation,True,81292,81408,0.9985750786163522,0.0019559205902623,True,1.0,1.0,False,False,False,False,0.1835730664771293,0.1377152902243497,1.0977021980285642,0.6754015135765075,True,True,PASS,False,True,True,NOT_IMPLICATED,5,5,3,9,5,7,1.0,1,1,,0,1,1,,True,False,after_only;discard_midpoint;score_lt_5=low;score_eq_5=missing;score_gt_5=high
DEJA-VU,Cohort_B_Paired_EEG_EMG_Strict,P004,S001,4,14,P004_S001_p4,The Champ,the_champ,filmstim_the_champ,FilmStim,C,Sadness,181.0,990.0,1171.0,181.0,False,S001_quadrant_C_pos4.h5,True,True,quadrant,False,True,1.0,3.0,7.0,2,2,"before=1,after=1",True,True,True,True,sub-P004_ses-S001_task-Default_run-001_eeg.xdf,clean_P004_S001.h5,P004_S001,journey:1;videos:1;video_mappings:1;ratings:2,False,,P004_S001_p4,presentation,True,92539,92672,0.9985648308011048,0.0019559205902623,True,1.0,1.0,False,False,False,False,0.1946205441899353,0.0980237096218652,1.005056972503663,0.6557428073883047,True,True,PASS,False,True,True,NOT_IMPLICATED,5,7,3,1,3,7,0.0,0,0,0.0,0,0,0,0,True,True,after_only;discard_midpoint;score_lt_5=low;score_eq_5=missing;score_gt_5=high
DEJA-VU,Cohort_B_Paired_EEG_EMG_Strict,P005,S001,2,6,P005_S001_p2,The Visitors,the_visitors,filmstim_the_visitors,FilmStim,A,Fun,130.0,349.0,479.0,130.0,False,S001_quadrant_A_pos2.h5,True,True,quadrant,False,True,8.0,7.0,8.0,2,2,"before=1,after=1",True,True,True,True,sub-P005_ses-S001_task-Default_run-001_eeg.xdf,clean_P005_S001.h5,P005_S001,journey:1;videos:1;video_mappings:1;ratings:2,False,,P005_S001_p2,presentation,True,66465,66560,0.998572716346154,0.0019558992062229,True,1.0,1.0,False,False,False,False,0.1712905139126953,0.1463337864274988,0.6140934753417966,0.5372991561889648,True,True,PASS,False,True,True,NOT_IMPLICATED,7,4,2,8,7,8,1.0,1,1,1.0,1,1,1,1,True,True,after_only;discard_midpoint;score_lt_5=low;score_eq_5=missing;score_gt_5=high
DEJA-VU,Cohort_B_Paired_EEG_EMG_Strict,P005,S001,3,10,P005_S001_p3,The Champ,the_champ,filmstim_the_champ,FilmStim,C,Sadness,181.0,612.0,793.0,181.0,False,S001_quadrant_C_pos3.h5,True,True,quadrant,False,True,5.0,3.0,3.0,2,2,"before=1,after=1",True,True,True,True,sub-P005_ses-S001_task-Default_run-001_eeg.xdf,clean_P005_S001.h5,P005_S001,journey:1;videos:1;video_mappings:1;ratings:2,False,,P005_S001_p3,presentation,True,92540,92672,0.9985756215469612,0.0019558992062229,True,1.0,1.0,False,False,False,False,0.0759081435148859,0.0749816390102538,0.3329615592956543,0.3649273967742914,True,True,PASS,False,True,True,NOT_IMPLICATED,7,3,1,5,3,3,,0,1,0.0,0,0,,0,False,True,after_only;discard_midpoint;score_lt_5=low;score_eq_5=missing;score_gt_5=high
DEJA-VU,Cohort_B_Paired_EEG_EMG_Strict,P005,S001,4,14,P005_S001_p4,Misery,misery,filmstim_misery,FilmStim,B,Fear,220.0,926.0,1146.0,220.0,False,S001_quadrant_B_pos4.h5,True,True,quadrant,False,True,5.0,5.0,5.0,2,2,"before=1,after=1",True,True,True,True,sub-P005_ses-S001_task-Default_run-001_eeg.xdf,clean_P005_S001.h5,P005_S001,journey:1;videos:1;video_mappings:1;ratings:2,False,,P005_S001_p4,presentation,True,112480,112640,0.9985795454545454,0.0019558992062229,True,1.0,1.0,False,False,False,False,0.1079584593447494,0.0811121354181618,0.4909177827835087,0.393041534423828,True,True,PASS,False,True,True,NOT_IMPLICATED,6,1,1,5,5,5,,0,1,,0,1,,,False,False,after_only;discard_midpoint;score_lt_5=low;score_eq_5=missing;score_gt_5=high
DEJA-VU,Cohort_B_Paired_EEG_EMG_Strict,P006,S001,2,6,P006_S001_p2,There is something about Mary,there_is_something_about_mary,filmstim_there_is_something_about_mary,FilmStim,A,Fun,174.0,349.0,523.0,174.0,False,S001_quadrant_A_pos2.h5,True,True,quadrant,False,True,6.0,3.0,5.0,2,2,"before=1,after=1",True,True,True,True,sub-P006_ses-S001_task-Default_run-001_eeg.xdf,clean_P006_S001.h5,P006_S001,journey:1;videos:1;video_mappings:1;ratings:2,False,,P006_S001_p2,presentation,True,88980,89088,0.9987877155172412,0.0019554996397346,True,1.0,1.0,False,False,False,False,0.1356023921895803,0.1177167377906235,0.5828680610656747,0.5456063365936279,True,True,PASS,False,True,True,NOT_IMPLICATED,5,3,5,6,3,5,1.0,1,1,0.0,0,0,1,0,True,True,after_only;discard_midpoint;score_lt_5=low;score_eq_5=missing;score_gt_5=high
DEJA-VU,Cohort_B_Paired_EEG_EMG_Strict,P006,S001,3,10,P006_S001_p3,The Champ,the_champ,filmstim_the_champ,FilmStim,C,Sadness,181.0,656.0,837.0,181.0,False,S001_quadrant_C_pos3.h5,True,True,quadrant,False,True,3.0,5.0,3.0,2,2,"before=1,after=1",True,True,True,True,sub-P006_ses-S001_task-Default_run-001_eeg.xdf,clean_P006_S001.h5,P006_S001,journey:1;videos:1;video_mappings:1;ratings:2,False,,P006_S001_p3,presentation,True,92560,92672,0.9987914364640884,0.0019554996397346,True,1.0,1.0,False,False,False,False,0.2147190959966736,0.167539029556891,0.6897716522216797,0.9956600785255434,True,True,PASS,False,True,True,NOT_IMPLICATED,5,3,5,3,5,3,0.0,0,0,,0,1,0,,True,False,after_only;discard_midpoint;score_lt_5=low;score_eq_5=missing;score_gt_5=high
DEJA-VU,Cohort_B_Paired_EEG_EMG_Strict,P006,S001,4,14,P006_S001_p4,The Shining,the_shining,emostim_the_shining,EmoStim,B,Fear,165.0,970.0,1135.0,165.0,False,S001_quadrant_B_pos4.h5,True,True,quadrant,False,True,4.0,4.0,3.0,2,2,"before=1,after=1",True,True,True,True,sub-P006_ses-S001_task-Default_run-001_eeg.xdf,clean_P006_S001.h5,P006_S001,journey:1;videos:1;video_mappings:1;ratings:2,False,,P006_S001_p4,presentation,True,84377,84480,0.9987807765151516,0.0019554996397346,True,1.0,1.0,False,False,False,False,0.0998996812804058,0.0713501976683353,0.3759222030639648,0.3053445816040039,True,True,PASS,False,True,True,NOT_IMPLICATED,4,3,5,4,4,3,0.0,0,0,0.0,0,0,0,0,True,True,after_only;discard_midpoint;score_lt_5=low;score_eq_5=missing;score_gt_5=high
DEJA-VU,Cohort_B_Paired_EEG_EMG_Strict,P007,S001,2,6,P007_S001_p2,28 days later,28_days_later,emostim_28_days_later,EmoStim,B,Fear,172.0,349.0,521.0,172.0,False,S001_quadrant_B_pos2.h5,True,True,quadrant,False,True,2.0,7.0,2.0,2,2,"before=1,after=1",True,True,True,True,sub-P007_ses-S001_task-Default_run-001_eeg.xdf,clean_P007_S001.h5,P007_S001,journey:1;videos:1;video_mappings:1;ratings:2,False,,P007_S001_p2,presentation,True,88061,88064,0.9999659338662792,0.0019531867001205,True,1.0,1.0,False,False,False,False,0.0602381627364244,0.1323876447340818,0.2564404010772705,0.480830109119415,True,True,PASS,False,True,True,NOT_IMPLICATED,5,2,3,2,7,2,0.0,0,0,1.0,1,1,0,1,True,True,after_only;discard_midpoint;score_lt_5=low;score_eq_5=missing;score_gt_5=high
DEJA-VU,Cohort_B_Paired_EEG_EMG_Strict,P007,S001,3,10,P007_S001_p3,My girl,my_girl,emostim_my_girl,EmoStim,C,Sadness,199.0,654.0,853.0,199.0,False,S001_quadrant_C_pos3.h5,True,True,quadrant,False,True,1.0,3.0,3.0,2,2,"before=1,after=1",True,True,True,True,sub-P007_ses-S001_task-Default_run-001_eeg.xdf,clean_P007_S001.h5,P007_S001,journey:1;videos:1;video_mappings:1;ratings:2,False,,P007_S001_p3,presentation,True,101884,101888,0.9999607412060302,0.0019531867001205,True,1.0,1.0,False,False,False,False,0.2215400583203242,0.0535102555045446,0.7548971176147461,0.3230368798971175,True,True,PASS,False,True,True,NOT_IMPLICATED,6,3,4,1,3,3,0.0,0,0,0.0,0,0,0,0,True,True,after_only;discard_midpoint;score_lt_5=low;score_eq_5=missing;score_gt_5=high
DEJA-VU,Cohort_B_Paired_EEG_EMG_Strict,P007,S001,4,14,P007_S001_p4,When Harry met Sally,when_harry_met_sally,filmstim_when_harry_met_sally,FilmStim,A,Fun,172.0,986.0,1158.0,172.0,False,S001_quadrant_A_pos4.h5,True,True,quadrant,False,True,8.0,6.0,5.0,2,2,"before=1,after=1",True,True,True,True,sub-P007_ses-S001_task-Default_run-001_eeg.xdf,clean_P007_S001.h5,P007_S001,journey:1;videos:1;video_mappings:1;ratings:2,False,,P007_S001_p4,presentation,True,88062,88064,0.999977289244186,0.0019531867001205,True,1.0,1.0,False,False,False,False,0.145667371480325,0.0766839169602486,0.5756214594841005,0.3356781005859375,True,True,PASS,False,True,True,NOT_IMPLICATED,7,3,6,8,6,5,1.0,1,1,1.0,1,1,1,1,True,True,after_only;discard_midpoint;score_lt_5=low;score_eq_5=missing;score_gt_5=high
DEJA-VU,Cohort_B_Paired_EEG_EMG_Strict,P007,S002,2,6,P007_S002_p2,Mr. Bean,mr._bean,emostim_mr._bean,EmoStim,A,Fun,159.0,349.0,508.0,159.0,False,S002_quadrant_A_pos2.h5,True,True,quadrant,False,True,7.0,4.0,6.0,2,2,"before=1,after=1",True,True,True,True,sub-P007_ses-S002_task-Default_run-001_eeg.xdf,clean_P007_S002.h5,P007_S002,journey:1;videos:1;video_mappings:1;ratings:2,False,,P007_S002_p2,presentation,True,81299,81408,0.9986610652515724,0.0019557302039174,True,1.0,1.0,False,False,False,False,0.1535103164518639,0.0878449883263865,0.6474404811859138,0.4300613403320312,True,True,PASS,False,True,True,NOT_IMPLICATED,5,2,5,7,4,6,1.0,1,1,0.0,0,0,1,0,True,True,after_only;discard_midpoint;score_lt_5=low;score_eq_5=missing;score_gt_5=high
